title,genres,year,rating,poster,overview
Avatar,Action Sci-Fi,2009,7.8,https://m.media-amazon.com/images/I/61OUGpUfAyL._AC_UF1000,1000_QL80_.jpg,A marine explores Pandora.
Titanic,Romance Drama,1997,7.8,https://upload.wikimedia.org/wikipedia/en/2/22/Titanic_poster.jpg,A love story unfolds on the Titanic ship.
Inception,Sci-Fi Thriller,2010,8.8,https://upload.wikimedia.org/wikipedia/en/7/7f/Inception_ver3.jpg,A thief enters dreams to steal secrets.
Interstellar,Sci-Fi Drama,2014,8.7,https://upload.wikimedia.org/wikipedia/en/b/bc/Interstellar_film_poster.jpg,A space mission travels beyond Earth.
Frozen,Animation Family,2013,7.4,https://upload.wikimedia.org/wikipedia/en/0/05/Frozen_%282013_film%29_poster.jpg,A princess with ice powers tries to save her kingdom.
Toy Story,Animation Comedy,1995,8.3,https://upload.wikimedia.org/wikipedia/en/1/13/Toy_Story.jpg,Toys come alive when humans are away.
Spider-Man,Action Adventure,2002,7.4,https://upload.wikimedia.org/wikipedia/en/f/f3/Spider-Man2002Poster.jpg,A teenager gains spider powers.
Iron Man,Action Sci-Fi,2008,7.9,https://upload.wikimedia.org/wikipedia/en/0/00/Iron_Man_poster.jpg,A billionaire builds a powerful iron suit.
Doctor Strange,Fantasy Action,2016,7.5,https://upload.wikimedia.org/wikipedia/en/c/c7/Doctor_Strange_poster.jpg,A surgeon becomes a powerful magician.
Avengers Endgame,Action Sci-Fi,2019,8.4,https://upload.wikimedia.org/wikipedia/en/0/0d/Avengers_Endgame_poster.jpg,Heroes unite to save the universe.
Joker,Drama Thriller,2019,8.4,https://upload.wikimedia.org/wikipedia/en/e/e1/Joker_%282019_film%29_poster.jpg,A lonely man becomes Gotham villain.
3 Idiots,Comedy Drama,2009,8.4,https://upload.wikimedia.org/wikipedia/en/d/df/3_idiots_poster.jpg,Engineering students discover real success.
Dangal,Sports Drama,2016,8.3,https://upload.wikimedia.org/wikipedia/en/9/99/Dangal_Poster.jpg,A father trains daughters for wrestling.
PK,Comedy Drama,2014,8.1,https://upload.wikimedia.org/wikipedia/en/c/c3/PK_poster.jpg,An alien questions human beliefs.
Shershaah,War Drama,2021,8.4,https://upload.wikimedia.org/wikipedia/en/0/0f/Shershaah_film_poster.jpg,A brave soldier inspiring life story.
Jawan,Action Thriller,2023,7.1,https://upload.wikimedia.org/wikipedia/en/3/39/Jawan_film_poster.jpg,A man fights corruption.
Pathaan,Action Thriller,2023,6.7,https://upload.wikimedia.org/wikipedia/en/c/c3/Pathaan_film_poster.jpg,A spy saves the nation.
KGF,Action Drama,2018,8.2,https://upload.wikimedia.org/wikipedia/en/d/dc/K.G.F_Chapter_1_poster.jpg,A young man rises in the gold mining world.
KGF Chapter 2,Action Drama,2022,8.4,https://upload.wikimedia.org/wikipedia/en/9/99/K.G.F_Chapter_2.jpg,Rocky battles powerful enemies.
Kantara,Action Thriller,2022,8.3,https://upload.wikimedia.org/wikipedia/en/8/81/Kantara_poster.jpeg,A village fights to protect traditions.
Charlie 777,Adventure Drama,2022,8.8,https://upload.wikimedia.org/wikipedia/en/5/5e/777_Charlie.jpg,A lonely man changes after meeting a dog.
RRR,Action Drama,2022,8.0,https://upload.wikimedia.org/wikipedia/en/d/d7/RRR_Poster.jpg,Two revolutionaries fight British rule.
Baahubali 2,Fantasy Action,2017,8.2,https://upload.wikimedia.org/wikipedia/en/f/f9/Baahubali_2_The_Conclusion_poster.jpg,A king fights betrayal and war.
Vikram,Action Thriller,2022,8.4,https://upload.wikimedia.org/wikipedia/en/9/93/Vikram_2022_poster.jpg,A special agent hunts criminals.
Master,Action Thriller,2021,7.3,https://upload.wikimedia.org/wikipedia/en/5/5c/Master_film_poster.jpg,A professor clashes with a gangster.
Leo,Action Thriller,2023,7.2,https://upload.wikimedia.org/wikipedia/en/7/7b/Leo_%282023_Indian_film%29.jpg,A cafe owner faces his past.
Jailer,Action Drama,2023,7.1,https://upload.wikimedia.org/wikipedia/en/c/cb/Jailer_film_poster.jpg,A retired jailer hunts criminals.
